split,scenario,phase,method,horizon,n,nwis,wis_kw,mae_kw,coverage50,coverage80,coverage90,width90_kw,events
calibration,irradiance_only,outage,recovery,2,45,0.08628841616057628,23.358274254667993,47.471336108490654,0.5777777777777777,0.8222222222222222,0.9555555555555556,145.33764457640197,6
calibration,irradiance_only,outage,recovery,3,39,0.09612957969967449,26.02227722470188,66.76526781500463,0.46153846153846156,0.8461538461538461,0.9743589743589743,144.4153627474645,6
calibration,irradiance_only,outage,recovery,4,33,0.0975694948229021,26.4120622485596,74.17516464646465,0.36363636363636365,0.5151515151515151,0.7575757575757576,106.00285970303486,6
calibration,irradiance_only,outage,rolling,1,51,0.08255188869086721,22.346796268617755,54.604128928484535,0.5294117647058824,0.8235294117647058,0.9215686274509803,144.13773204516582,6
calibration,irradiance_only,outage,rolling,2,45,0.08628841616057628,23.358274254667993,47.471336108490654,0.5777777777777777,0.8222222222222222,0.9555555555555556,145.33764457640197,6
calibration,irradiance_only,outage,rolling,3,39,0.09612957969967449,26.02227722470188,66.76526781500463,0.46153846153846156,0.8461538461538461,0.9743589743589743,144.4153627474645,6
calibration,irradiance_only,outage,rolling,4,33,0.09808283912603014,26.551024551416354,74.17516464646465,0.36363636363636365,0.48484848484848486,0.696969696969697,103.89048448698846,6
calibration,irradiance_only,recovery,context,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_only,recovery,context,2,86,0.09562030592545914,25.884416814021787,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_only,recovery,context,3,86,0.11505492375779393,31.145367861234817,94.28633264710481,0.5348837209302325,0.7790697674418605,0.9767441860465116,154.8095142249715,6
calibration,irradiance_only,recovery,context,4,86,0.12381426619489581,33.5165218589583,105.6754125968992,0.5232558139534884,0.7674418604651163,0.8488372093023255,143.86978064950074,6
calibration,irradiance_only,recovery,persistence,1,86,0.06489061237814599,17.56588877076412,30.74363798449612,0.19767441860465115,0.6046511627906976,0.813953488372093,91.73080794573643,6
calibration,irradiance_only,recovery,persistence,2,86,0.10983510533782849,29.732363014950167,53.08414767441861,0.22093023255813954,0.627906976744186,0.7906976744186046,145.58736976744186,6
calibration,irradiance_only,recovery,persistence,3,86,0.1470947248141789,39.818542007198225,70.97588410852713,0.26744186046511625,0.6046511627906976,0.7325581395348837,183.402015503876,6
calibration,irradiance_only,recovery,persistence,4,86,0.1689357819909091,45.73091618493909,83.44705077519379,0.32558139534883723,0.6162790697674418,0.7558139534883721,209.57664593023256,6
calibration,irradiance_only,recovery,quantile_raw,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_only,recovery,quantile_raw,2,86,0.09559619842401182,25.87789091338,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_only,recovery,quantile_raw,3,86,0.1151040360545167,31.158662559957673,94.28633264710481,0.5348837209302325,0.7674418604651163,0.9767441860465116,154.79139925507087,6
calibration,irradiance_only,recovery,quantile_raw,4,86,0.1263882335078794,34.21329481058296,105.6754125968992,0.5232558139534884,0.7209302325581395,0.8255813953488372,138.08388474537048,6
calibration,irradiance_only,recovery,recovery,1,86,0.08842110636646243,23.935593493401377,70.55278090140939,0.5697674418604651,0.8604651162790697,0.9883720930232558,137.40804312296194,6
calibration,irradiance_only,recovery,recovery,2,86,0.09559619842401182,25.87789091338,64.43176956928762,0.5348837209302325,0.7674418604651163,1.0,149.6293248783206,6
calibration,irradiance_only,recovery,recovery,3,86,0.1151040360545167,31.158662559957673,94.28633264710481,0.5348837209302325,0.7674418604651163,0.9767441860465116,154.79139925507087,6
