split,phase_detail,method,n,nwis,coverage50,coverage80,coverage90,width90_kw,repair_fraction,events
validation,outage,recency_day,72,0.09231382006577757,0.8333333333333334,0.9722222222222222,0.9861111111111112,189.77664067073638,0.8888888888888888,6
validation,outage,recovery_day,72,0.09160084879907653,0.7916666666666666,0.9722222222222222,0.9861111111111112,188.50415810488843,0.75,6
validation,outage,signed_all,72,0.09245825763118379,0.8611111111111112,0.9861111111111112,1.0,190.4864598984893,0.16666666666666666,6
validation,outage,signed_day,72,0.09238293557727902,0.8333333333333334,0.9722222222222222,0.9861111111111112,190.69005969694285,0.8888888888888888,6
validation,partial_restoration,aci_bounded_day,72,0.15087913313548892,0.5,0.7361111111111112,0.9027777777777778,212.92843058343576,1.0,6
validation,partial_restoration,context_day,72,0.15213963761033045,0.4722222222222222,0.7222222222222222,0.8611111111111112,212.2458487355501,0.9027777777777778,6
validation,partial_restoration,expand_all,72,0.1506197802015207,0.5277777777777778,0.75,0.9722222222222222,219.11656668197858,0.08333333333333333,6
validation,partial_restoration,expand_day,72,0.15066564616945152,0.5277777777777778,0.75,0.9722222222222222,220.08325812617275,0.375,6
validation,partial_restoration,mask_day,72,0.15060152554082606,0.5138888888888888,0.7361111111111112,0.9305555555555556,217.0758285761552,0.9305555555555556,6
validation,partial_restoration,raw,72,0.15060171943617673,0.5277777777777778,0.75,0.9722222222222222,218.8610976148081,0.0,6
validation,partial_restoration,recency_day,72,0.15061461312050742,0.5138888888888888,0.7361111111111112,0.9305555555555556,217.0946504634639,0.9166666666666666,6
validation,partial_restoration,recovery_day,72,0.15054881454561378,0.5,0.7361111111111112,0.9166666666666666,217.0832781843761,0.9583333333333334,6
validation,partial_restoration,signed_all,72,0.1506197802015207,0.5277777777777778,0.75,0.9722222222222222,219.11656668197858,0.08333333333333333,6
validation,partial_restoration,signed_day,72,0.15054612012504143,0.5138888888888888,0.7361111111111112,0.9305555555555556,218.16755645192754,0.9305555555555556,6
validation,recovery_0_to_6h,aci_bounded_day,132,0.10699867357464479,0.5,0.8333333333333334,0.9015151515151515,160.91137419566175,1.0,6
validation,recovery_0_to_6h,context_day,132,0.10784123948231929,0.5151515151515151,0.8409090909090909,0.9090909090909091,164.34378805909185,0.9848484848484849,6
validation,recovery_0_to_6h,expand_all,132,0.10666329496062218,0.5454545454545454,0.8181818181818182,0.9166666666666666,166.97731023145872,0.06818181818181818,6
validation,recovery_0_to_6h,expand_day,132,0.10663175565400673,0.5454545454545454,0.8409090909090909,0.9166666666666666,167.71539102561874,0.3333333333333333,6
validation,recovery_0_to_6h,mask_day,132,0.10650943334624831,0.5303030303030303,0.8333333333333334,0.9242424242424242,165.80314986666298,0.8181818181818182,6
validation,recovery_0_to_6h,raw,132,0.10667828215839578,0.5454545454545454,0.8181818181818182,0.9090909090909091,166.78172626704904,0.0,6
validation,recovery_0_to_6h,recency_day,132,0.10678196606789365,0.5151515151515151,0.8257575757575758,0.9090909090909091,164.78441463087034,0.9393939393939394,6
validation,recovery_0_to_6h,recovery_day,132,0.10679582031411924,0.5,0.8333333333333334,0.9166666666666666,164.59035875153722,0.9318181818181818,6
validation,recovery_0_to_6h,signed_all,132,0.10666329496062218,0.5454545454545454,0.8181818181818182,0.9166666666666666,166.97731023145872,0.06818181818181818,6
validation,recovery_0_to_6h,signed_day,132,0.1066450273916009,0.5227272727272727,0.8409090909090909,0.9090909090909091,165.6454078865751,0.9015151515151515,6
validation,recovery_6_to_24h,aci_bounded_day,135,0.08263888639484689,0.6370370370370371,0.8518518518518519,0.8962962962962963,125.26673202596524,1.0,5
validation,recovery_6_to_24h,context_day,135,0.08270519737513096,0.6592592592592592,0.8814814814814815,0.9481481481481482,128.80784066742115,0.9555555555555556,5
