native_date,bright_hours,ac_max_w,ac_median_w,dc_max_w,dc_median_w,dc_v_median,poa_median,module_sentinel_fraction,all_observed_bright_ac_below_10w
2016-08-12,10,785.0580733333334,624.4272983333333,851.4852266666666,678.8622183333333,247.00196416666668,793.4379216666666,0.0,False
2016-08-13,10,810.4473816666667,643.3368208333334,880.4488299999999,699.9947466666667,244.44773583333333,829.7929008333333,0.0,False
2016-08-14,10,793.2428433333333,629.3868741666666,860.9944083333334,684.3009741666667,241.9437225,817.0874091666667,0.0,False
2016-08-15,9,750.3703499999999,451.13155333333333,815.1248533333332,494.08639000000005,241.84684000000001,597.9651883333333,0.0,False
2016-08-16,10,750.0160616666667,615.9354966666667,815.60542,672.1995983333333,240.5489725,794.7306675,0.0,False
2016-08-17,9,793.0147300000001,637.3258166666667,861.0925333333333,693.9636566666667,241.5701116666667,809.7793933333334,0.0,False
2016-08-18,7,692.2954766666667,453.23777333333334,753.1758366666667,496.05924,245.07316666666665,594.8633666666667,0.0,False
2016-08-19,8,787.159865,604.2108691666666,853.0058016666667,656.81393,245.51809333333335,772.6900725,0.0,False
2016-08-20,10,808.0084366666667,645.1559133333333,875.1334433333334,699.2106108333334,248.52381166666666,812.7804575,0.0,False
2016-08-21,9,804.728515,645.5548,873.2392733333332,700.4654633333333,243.146075,843.29312,0.0,False
2016-08-22,9,727.3806633333334,362.19855666666666,790.8694416666666,399.2317166666667,244.63002333333333,466.73798999999997,0.0,False
2016-08-23,6,468.106235,299.1857091666667,511.786025,333.36069499999996,249.05517500000002,404.74870666666664,0.0,False
2016-08-24,3,397.12681,294.04785,434.26263166666666,325.587045,258.9801233333333,345.3967566666667,0.0,False
2016-08-25,8,781.2971316666667,455.23138716666665,845.8821133333333,496.0612125,249.36868583333333,577.45706,0.0,False
2016-08-26,9,728.769105,613.8205346666667,788.7611533333333,668.9533868333333,243.58846499999999,785.9915149999999,0.0,False
2016-08-27,10,837.7606366666666,570.9485241666666,908.783875,623.4096491666667,244.47778416666665,737.9652783333333,0.0,False
2016-08-28,7,809.52612,430.14475500000003,877.70336,472.12341333333336,242.99109666666666,537.1163583333333,0.0,False
2016-08-29,5,803.83096,546.778295,871.50368,597.127735,246.82795333333334,702.1368916666667,0.0,False
2016-08-30,9,808.8525583333334,648.0816283333334,876.88798,702.8662566666667,244.23369499999998,838.5795899999999,0.0,False
