method,origins,mean_score_updates_all_horizons,max_score_updates_all_horizons,p95_score_updates_all_horizons,fraction_origins_with_updates,site,case_id,case_group
physical_availability,8012,1.9755366949575637,20,4.0,0.46193210184722916,colorado,schedule_seed_3,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46193210184722916,colorado,schedule_seed_3,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46193210184722916,colorado,schedule_seed_3,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,narrow_quality,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,narrow_quality,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,narrow_quality,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,narrow_quality,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,right_aligned,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,right_aligned,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,right_aligned,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,right_aligned,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,training_2015,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,training_2015,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,training_2015,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,training_2015,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,receipt_5min,sensitivity
physical_availability,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,receipt_5min,sensitivity
physical_recovery,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,receipt_5min,sensitivity
recency,8012,1.9755366949575637,20,4.0,0.46330504243634546,colorado,receipt_5min,sensitivity
physical,8012,1.9755366949575637,20,4.0,0.4639291063404893,colorado,schedule_seed_4,sensitivity
