horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
4,295,0.0563873937326257,0.1095567233651838,0.3627118644067796,0.6711864406779661,0.8508474576271187,0.3976991277929318,45,nist,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.0693346321182186,0.1353540710023759,0.4816053511705686,0.7959866220735786,0.862876254180602,0.5126632647071091,46,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.0634719475126667,0.1265100483924058,0.4166666666666667,0.7533333333333333,0.8733333333333333,0.4415146654835531,46,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0626415303025949,0.1261029437659034,0.3872053872053872,0.7508417508417509,0.8754208754208754,0.4234369878918005,46,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.0614607819069423,0.1257850319273604,0.4169491525423728,0.7593220338983051,0.8677966101694915,0.4137981000635776,45,nist,joint_immediate,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,299,0.0693346321182186,0.1353540710023759,0.4816053511705686,0.7959866220735786,0.862876254180602,0.5126632647071091,46,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,300,0.0634719475126667,0.1265100483924058,0.4166666666666667,0.7533333333333333,0.8733333333333333,0.4415146654835531,46,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,297,0.0626415303025949,0.1261029437659034,0.3872053872053872,0.7508417508417509,0.8754208754208754,0.4234369878918005,46,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,295,0.0614607819069423,0.1257850319273604,0.4169491525423728,0.7593220338983051,0.8677966101694915,0.4137981000635776,45,nist,joint_gradual,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.0214335264051134,0.0293686800544103,0.074074074074074,0.2087542087542087,0.4377104377104377,0.1312760291398345,46,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.0502176493695912,0.0830394521495919,0.068259385665529,0.1467576791808873,0.409556313993174,0.4049209012366521,45,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.0710392380346785,0.1199968622148891,0.0856164383561643,0.1712328767123287,0.2945205479452055,0.4032044133059073,44,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.0868143031967363,0.1652125664430439,0.0515463917525773,0.140893470790378,0.2955326460481099,0.4037565611629551,43,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.0822693574441005,0.1451366366247387,0.074074074074074,0.1683501683501683,0.2996632996632997,0.4675218878893807,46,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.0992182940556611,0.226729829429009,0.0409556313993174,0.1023890784982935,0.3549488054607508,0.4524945540157482,45,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.1019843256129403,0.19425054478556,0.071917808219178,0.1335616438356164,0.2226027397260274,0.420302574739597,44,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.1018439771672757,0.2210791490854303,0.0515463917525773,0.0962199312714776,0.2542955326460481,0.4102567312924792,43,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.0213626350262089,0.0278053218542576,0.1178451178451178,0.2222222222222222,0.3703703703703703,0.1515606154101897,46,colorado,irradiance_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
