phase,event_id,difference,contrast,site,scenario
recovery_6_24,33,2.410726865922205e-06,mask50_minus_recency,nist,joint_gradual
recovery_6_24,34,-1.6846293976253626e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,35,0.00010178566555976429,mask50_minus_recency,nist,joint_gradual
recovery_6_24,36,7.254139329396979e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,37,2.2640948211877262e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,38,-0.000186501821428662,mask50_minus_recency,nist,joint_gradual
recovery_6_24,39,-0.0008282177176446627,mask50_minus_recency,nist,joint_gradual
recovery_6_24,40,0.00019142577836903373,mask50_minus_recency,nist,joint_gradual
recovery_6_24,41,0.0,mask50_minus_recency,nist,joint_gradual
recovery_6_24,42,0.0007840859717738402,mask50_minus_recency,nist,joint_gradual
recovery_6_24,43,-8.988071233596986e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,44,0.00010984559408910182,mask50_minus_recency,nist,joint_gradual
recovery_6_24,45,0.0004515064349209473,mask50_minus_recency,nist,joint_gradual
recovery_6_24,46,0.0010750607764185866,mask50_minus_recency,nist,joint_gradual
recovery_6_24,47,-0.0003047324079235926,mask50_minus_recency,nist,joint_gradual
recovery_6_24,48,9.23869833980818e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,49,-0.00015071456245299876,mask50_minus_recency,nist,joint_gradual
recovery_6_24,50,-4.4124606832592544e-05,mask50_minus_recency,nist,joint_gradual
recovery_6_24,51,-0.00021093022230466574,mask50_minus_recency,nist,joint_gradual
outage,26,0.00022237507096804435,aci_bounded_minus_rolling,nist,joint_gradual
outage,27,-9.277310317356212e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,28,-4.033694887631421e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,29,-0.0002857689450897393,aci_bounded_minus_rolling,nist,joint_gradual
outage,30,-0.0002541358970428261,aci_bounded_minus_rolling,nist,joint_gradual
outage,31,0.0004053013808908766,aci_bounded_minus_rolling,nist,joint_gradual
outage,32,-0.0001150881563519085,aci_bounded_minus_rolling,nist,joint_gradual
outage,33,3.970564854780863e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,34,1.7085860870580394e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,35,-4.761272071125526e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,36,-3.338818994325643e-05,aci_bounded_minus_rolling,nist,joint_gradual
outage,37,0.00043659810132249413,aci_bounded_minus_rolling,nist,joint_gradual
outage,38,0.0005502107117953153,aci_bounded_minus_rolling,nist,joint_gradual
