horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,site,case_id,population,method,reference_case,window
4,291,0.0868143031967363,0.16521256644304394,0.05154639175257732,0.140893470790378,0.29553264604810997,0.40375656116295516,43,colorado,clean,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.021433526405113496,0.029368680054410335,0.07407407407407407,0.20875420875420875,0.4377104377104377,0.13127602913983455,46,colorado,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.05021764936959127,0.0830394521495919,0.06825938566552901,0.14675767918088736,0.40955631399317405,0.4049209012366521,45,colorado,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.07103923803467853,0.11999686221488914,0.08561643835616438,0.17123287671232876,0.2945205479452055,0.4032044133059073,44,colorado,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.0868143031967363,0.16521256644304394,0.05154639175257732,0.140893470790378,0.29553264604810997,0.40375656116295516,43,colorado,clean,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.08226935744410056,0.14513663662473875,0.07407407407407407,0.16835016835016836,0.2996632996632997,0.46752188788938076,46,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.09921829405566117,0.22672982942900907,0.040955631399317405,0.10238907849829351,0.35494880546075086,0.4524945540157482,45,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
3,292,0.10198432561294035,0.19425054478556,0.07191780821917808,0.13356164383561644,0.2226027397260274,0.42030257473959703,44,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
4,291,0.10184397716727578,0.2210791490854303,0.05154639175257732,0.09621993127147767,0.2542955326460481,0.4102567312924792,43,colorado,pv_only,recorded_ac,raw,joint_gradual,"scheduled interruption, before final channel return"
1,297,0.08226935744410056,0.14513663662473875,0.07407407407407407,0.16835016835016836,0.2996632996632997,0.46752188788938076,46,colorado,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
2,293,0.09921829405566117,0.22672982942900907,0.040955631399317405,0.10238907849829351,0.35494880546075086,0.4524945540157482,45,colorado,pv_only,exclude_bright_zero,raw,joint_gradual,"scheduled interruption, before final channel return"
