site,case_id,case_group,method,horizon,n,nwis,nmae,coverage50,coverage80,coverage90,nwidth90,events,days,population,endpoint
reserve10,clean,primary,rolling,1,3954,0.03896535500174076,0.06389370475258582,0.5053110773899848,0.802478502781993,0.9074355083459787,0.3041306223882659,0,326,exclude_bright_zero,all
reserve10,clean,primary,rolling,2,3954,0.052256738892592136,0.08977066997722571,0.5123925139099645,0.8022255943348507,0.9011127971674254,0.40194395959836265,0,325,exclude_bright_zero,all
reserve10,clean,primary,rolling,3,3954,0.05816596857732833,0.1027695339015478,0.5088517956499747,0.7994436014162873,0.9026302478502782,0.4308803452203007,0,325,exclude_bright_zero,all
reserve10,clean,primary,rolling,4,3954,0.06123213410321802,0.11042282476238839,0.5015174506828528,0.8014668689934243,0.900354071825999,0.4381497889298931,0,325,exclude_bright_zero,all
reserve10,clean,primary,single_imputation,1,3954,0.045205660134579655,0.06806038099589112,0.6322711178553364,0.8136064744562468,0.8679817905918058,0.2584402556079376,0,326,exclude_bright_zero,all
reserve10,clean,primary,single_imputation,2,3954,0.06025575813299292,0.0942291683595417,0.552604957005564,0.7647951441578149,0.8361153262518968,0.31233142309202333,0,325,exclude_bright_zero,all
reserve10,clean,primary,single_imputation,3,3954,0.06701654479732673,0.10448643165490873,0.5343955488113303,0.7443095599393019,0.8204350025290845,0.3320658828131958,0,325,exclude_bright_zero,all
reserve10,clean,primary,single_imputation,4,3954,0.07138005444644863,0.11128634875455218,0.5227617602427921,0.731158320687911,0.8080424886191199,0.3448511094393147,0,325,exclude_bright_zero,all
reserve10,pv_only,primary,aci_bounded,1,301,0.05061271736424864,0.08741375190395467,0.5614617940199336,0.8571428571428571,0.9401993355481728,0.4483644728487921,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,aci_bounded,2,298,0.05717214695677355,0.10221151021647676,0.5536912751677853,0.8389261744966443,0.9295302013422819,0.45858249778658466,46,54,recorded_ac,partial_restoration
reserve10,pv_only,primary,aci_bounded,3,297,0.06075986831739066,0.11484145954726092,0.5050505050505051,0.8383838383838383,0.936026936026936,0.46589332826591756,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,aci_bounded,4,297,0.06274359236811677,0.1211143702719192,0.5151515151515151,0.8148148148148148,0.9225589225589226,0.45702464646181246,44,46,recorded_ac,partial_restoration
reserve10,pv_only,primary,carry_forward,1,301,0.05295349423037169,0.089111404570811,0.53156146179402,0.7840531561461794,0.8837209302325582,0.42031401291098497,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,carry_forward,2,298,0.05700718720672259,0.1048888742301345,0.4697986577181208,0.7718120805369127,0.8825503355704698,0.4299625385132263,46,54,recorded_ac,partial_restoration
reserve10,pv_only,primary,carry_forward,3,297,0.06058885334443221,0.11529291026466272,0.4208754208754209,0.7239057239057239,0.8552188552188552,0.43078978265650003,45,47,recorded_ac,partial_restoration
reserve10,pv_only,primary,carry_forward,4,297,0.06135238354242825,0.11706680831061964,0.4074074074074074,0.7003367003367004,0.8585858585858586,0.42453600724607515,44,46,recorded_ac,partial_restoration
reserve10,pv_only,primary,geometric_persistence,1,301,0.18671380711611907,0.2754548013533605,0.2757475083056478,0.43853820598006643,0.5880398671096345,0.3750937594303075,47,62,recorded_ac,partial_restoration
reserve10,pv_only,primary,geometric_persistence,2,298,0.16049697490357426,0.2815157092120766,0.3624161073825503,0.5838926174496645,0.6812080536912751,0.47218331992513496,46,54,recorded_ac,partial_restoration
